customer,order,total_items,discount%,weekday,hour,Food%,Fresh%,Drinks%,Home%,Beauty%,Health%,Baby%,Pets%,num_orders,labels,class
0,0,0.28214077952297845,14.11,4,13,14.07,73.20333333333333,4.3566666666666665,6.2,2.1766666666666667,0.0,0.0,0.0,3.0,1,2
1,3,0.18778359511343803,17.849,1,12,17.762,52.909000000000006,17.760999999999996,3.2075000000000005,2.3145,4.351999999999999,1.6949999999999998,0.0,20.0,4,7
2,23,0.15183246073298431,2.97,6,23,24.1,22.29,38.69,14.92,0.0,0.0,0.0,0.0,1.0,8,3
3,24,0.1642765004932089,4.102173913043479,1,10,23.82565217391305,51.280869565217394,8.220869565217392,14.773478260869569,0.0,0.0,1.898695652173913,0.0,23.0,4,7
4,47,0.08972738761509297,4.373103448275862,3,9,24.841379310344823,51.08241379310345,10.29103448275862,13.035172413793102,0.6837931034482758,0.0,0.0655172413793103,0.0,29.0,4,7
5,76,0.11692844677137873,11.76,2,23,6.84,0.0,24.02,26.87,10.21,0.0,32.06,0.0,1.0,8,3
6,77,0.2549335481272654,2.683846153846154,2,12,39.315384615384616,23.76692307692308,19.72153846153846,5.633076923076923,2.1884615384615382,0.0,6.617692307692308,2.7569230769230773,13.0,4,7
7,90,0.24956369982547993,0.93,1,20,23.7,52.54,13.93,0.0,9.83,0.0,0.0,0.0,1.0,1,2
8,91,0.21640488656195464,23.67,2,23,24.09125,37.56625,22.3925,12.03375,3.9175,0.0,0.0,0.0,8.0,4,7
9,99,0.09424083769633507,3.004166666666667,2,8,9.296666666666669,64.83999999999999,14.153333333333334,3.2575,2.4391666666666665,5.39,0.625,0.0,12.0,4,7
10,111,0.14136125654450263,11.435,1,19,7.15,0.0,0.0,38.31,51.45,3.085,0.0,0.0,2.0,0,0
11,113,0.29703315881326353,17.497999999999998,1,11,31.646000000000004,5.223999999999999,4.274,12.878,5.016,3.686,36.898,0.0,5.0,8,3
12,118,0.22319177816560015,1.961111111111111,7,17,26.69888888888889,3.5933333333333337,19.321111111111108,14.591111111111111,1.2633333333333334,0.1444444444444444,34.38666666666667,0.0,9.0,4,7
13,127,0.193717277486911,0.0,1,9,0.0,76.95,0.0,0.0,8.28,0.0,14.77,0.0,1.0,1,2
14,128,0.20269259536275244,3.36,7,22,40.201428571428565,18.102857142857143,12.04857142857143,14.247142857142856,10.541428571428572,0.0,4.855714285714285,0.0,7.0,8,3
