Day,Work_Start_Time,Truck_Enter_Time,Parked_Time,Parked_Time2,Parked_Time3,Engine_Off_Time,Engine_Off_Time2,Engine_Off_Time3,Parked_Location,Vehicle_Type,Delivery,Pickuponly,Handtruck (Y/N),Num_Small_Package,Num_Large_Package,Num_Oversized_Package,Num_Delivery_Workers,Num_Package_Picked,Pickup,Num_Package_Failed,Failed,Reason for Failed,Engine_On_Time,Truck_Leave_Time,Notes
2/5/2018,AM,8:46:35,8:46:59,,,8:47:02,,,4,B,0,,N,2,0,0,2,0,,,,,8:50:25,8:50:53,
2/5/2018,AM,10:12:50,10:13:10,,,10:13:13,,,1,V,0,,N,0,0,0,1,0,,,,,10:13:55,10:14:10,The van is from  city of seattle and parked the truck and took a hand truck and leave
2/5/2018,AM,10:50:18,10:50:30,10:51:04,,10:50:33,10:51:16,,1,CV,1,,Y,6,4,0,1,1,1,,,,11:31:46,11:31:53,
2/5/2018,AM,11:50:33,11:51:01,,,11:51:09,,,4,SV,0,,N,0,0,0,1,0,,,,,12:20:51,12:21:29,The driver rearranged his tools ( ladder and two red tool boxes) and stays for about 30 minutes 
2/5/2018,AM,11:55:41,11:56:00,,,11:58:06,,,5,V,0,,Y,10,5,0,1,2,1,,,,12:19:59,12:20:37,
2/5/2018,PM,13:09:55,13:10:09,,,13:10:14,,,4,V,0,,N,0,0,0,1,0,,,,,14:20:04,14:22:19,The driver(worker) parked for 1 hr and only load a black tool box into his van and left.
2/5/2018,PM,15:19:15,15:19:45,,,15:19:47,,,5,SV,0,,N,0,0,0,2,0,,,,,,,A contracting service van full of tools inside 
2/5/2018,PM,13:07:37,13:07:51,,,13:08:16,,,1,V,0,,N,0,0,0,1,0,1,,,,13:25:00,13:25:10,another person comes back with packages - 47 Small Envelop 
2/5/2018,PM,15:02:01,15:02:25,,,15:02:33,,,5,V,0,,N,0,0,0,1,0,1,,,,15:18:23,15:18:38," brought  1(mail) to the building but brought 21 boxes  - mails back with HandTruck and then it took him some time to put handTruck back,"
2/5/2018,PM,15:20:23,15:21:01,,,15:21:07,,,2,B,,,N,0,0,0,2,0,,,,,,,The mentioned that they only did maintenance
