InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
540014,22261,FELT EGG COSY WHITE RABBIT ,2,1/4/2011 11:34,0.85,14606,United Kingdom
540261,22261,FELT EGG COSY WHITE RABBIT ,12,1/6/2011 9:57,0.85,13089,United Kingdom
540348,22261,FELT EGG COSY WHITE RABBIT ,4,1/6/2011 13:56,0.85,12841,United Kingdom
540473,22261,FELT EGG COSY WHITE RABBIT ,3,1/7/2011 14:31,0.85,17284,United Kingdom
541112,22261,FELT EGG COSY WHITE RABBIT ,12,1/13/2011 15:17,0.85,18085,United Kingdom
541302,22261,FELT EGG COSY WHITE RABBIT ,12,1/17/2011 14:18,0.85,13769,United Kingdom
541371,22261,FELT EGG COSY WHITE RABBIT ,6,1/17/2011 14:51,0.85,13983,United Kingdom
541406,22261,FELT EGG COSY WHITE RABBIT ,5,1/17/2011 15:19,0.85,14657,United Kingdom
541511,22261,FELT EGG COSY WHITE RABBIT ,1,1/18/2011 16:45,0.85,17576,United Kingdom
541796,22261,FELT EGG COSY WHITE RABBIT ,12,1/21/2011 13:55,0.85,14092,United Kingdom
542192,22261,FELT EGG COSY WHITE RABBIT ,6,1/26/2011 11:27,0.85,14049,United Kingdom
542238,22261,FELT EGG COSY WHITE RABBIT ,12,1/26/2011 14:35,0.85,12591,Italy
542616,22261,FELT EGG COSY WHITE RABBIT ,12,1/30/2011 15:40,0.85,16816,United Kingdom
542634,22261,FELT EGG COSY WHITE RABBIT ,12,1/31/2011 10:42,0.85,15448,United Kingdom
542717,22261,FELT EGG COSY WHITE RABBIT ,2,1/31/2011 14:07,0.85,17580,United Kingdom
542796,22261,FELT EGG COSY WHITE RABBIT ,10,2/1/2011 11:07,0.85,17356,United Kingdom
543028,22261,FELT EGG COSY WHITE RABBIT ,12,2/2/2011 15:09,0.85,14443,United Kingdom
543107,22261,FELT EGG COSY WHITE RABBIT ,12,2/3/2011 12:27,0.85,13800,United Kingdom
543131,22261,FELT EGG COSY WHITE RABBIT ,12,2/3/2011 15:23,0.85,13539,United Kingdom
543648,22261,FELT EGG COSY WHITE RABBIT ,12,2/11/2011 8:45,0.85,15114,United Kingdom
543660,22261,FELT EGG COSY WHITE RABBIT ,2,2/11/2011 10:40,1.63,NA,United Kingdom
543973,22261,FELT EGG COSY WHITE RABBIT ,1,2/14/2011 15:15,0.85,17571,United Kingdom
544040,22261,FELT EGG COSY WHITE RABBIT ,1,2/15/2011 11:40,0.85,14701,United Kingdom
544040,22261,FELT EGG COSY WHITE RABBIT ,1,2/15/2011 11:40,0.85,14701,United Kingdom
544463,22261,FELT EGG COSY WHITE RABBIT ,1,2/20/2011 14:31,0.85,12988,United Kingdom
544637,22261,FELT EGG COSY WHITE RABBIT ,24,2/22/2011 11:20,0.85,16546,United Kingdom
544681,22261,FELT EGG COSY WHITE RABBIT ,1,2/22/2011 16:28,1.63,NA,United Kingdom
544688,22261,FELT EGG COSY WHITE RABBIT ,12,2/23/2011 8:29,0.85,18151,United Kingdom
544837,22261,FELT EGG COSY WHITE RABBIT ,3,2/24/2011 10:29,0.85,15910,United Kingdom
545069,22261,FELT EGG COSY WHITE RABBIT ,36,2/27/2011 15:25,0.85,14745,United Kingdom
545084,22261,FELT EGG COSY WHITE RABBIT ,12,2/28/2011 10:55,0.85,12458,Switzerland
545238,22261,FELT EGG COSY WHITE RABBIT ,12,3/1/2011 11:02,0.85,15241,United Kingdom
545536,22261,FELT EGG COSY WHITE RABBIT ,12,3/3/2011 14:12,0.85,12417,Belgium
545568,22261,FELT EGG COSY WHITE RABBIT ,2,3/3/2011 16:22,1.63,NA,United Kingdom
545657,22261,FELT EGG COSY WHITE RABBIT ,12,3/4/2011 14:02,0.85,14911,EIRE
545682,22261,FELT EGG COSY WHITE RABBIT ,6,3/6/2011 11:39,0.85,14701,United Kingdom
545872,22261,FELT EGG COSY WHITE RABBIT ,4,3/7/2011 14:51,0.85,15752,United Kingdom
546005,22261,FELT EGG COSY WHITE RABBIT ,12,3/8/2011 15:17,0.85,14426,United Kingdom
546117,22261,FELT EGG COSY WHITE RABBIT ,6,3/9/2011 13:56,0.85,16771,United Kingdom
546425,22261,FELT EGG COSY WHITE RABBIT ,12,3/13/2011 13:36,0.85,16983,United Kingdom
546520,22261,FELT EGG COSY WHITE RABBIT ,12,3/14/2011 12:28,0.85,14911,EIRE
546769,22261,FELT EGG COSY WHITE RABBIT ,12,3/16/2011 14:57,0.85,17504,United Kingdom
546830,22261,FELT EGG COSY WHITE RABBIT ,24,3/17/2011 12:10,0.85,16839,United Kingdom
546896,22261,FELT EGG COSY WHITE RABBIT ,1,3/17/2011 18:24,1.63,NA,United Kingdom
546950,22261,FELT EGG COSY WHITE RABBIT ,2,3/18/2011 11:24,0.85,16511,United Kingdom
546950,22261,FELT EGG COSY WHITE RABBIT ,3,3/18/2011 11:24,0.85,16511,United Kingdom
547030,22261,FELT EGG COSY WHITE RABBIT ,12,3/20/2011 10:17,0.85,12948,United Kingdom
547042,22261,FELT EGG COSY WHITE RABBIT ,1,3/20/2011 11:00,1.63,NA,United Kingdom
547070,22261,FELT EGG COSY WHITE RABBIT ,1,3/20/2011 13:58,0.85,16115,United Kingdom
547070,22261,FELT EGG COSY WHITE RABBIT ,1,3/20/2011 13:58,0.85,16115,United Kingdom
547253,22261,FELT EGG COSY WHITE RABBIT ,4,3/22/2011 10:44,0.85,13869,United Kingdom
547367,22261,FELT EGG COSY WHITE RABBIT ,2,3/22/2011 13:11,0.85,15437,United Kingdom
547377,22261,FELT EGG COSY WHITE RABBIT ,12,3/22/2011 14:43,0.85,13050,United Kingdom
547420,22261,FELT EGG COSY WHITE RABBIT ,12,3/23/2011 10:43,0.85,15449,United Kingdom
547652,22261,FELT EGG COSY WHITE RABBIT ,1,3/24/2011 12:15,0.85,14606,United Kingdom
547672,22261,FELT EGG COSY WHITE RABBIT ,14,3/24/2011 13:54,0.85,17754,United Kingdom
547881,22261,FELT EGG COSY WHITE RABBIT ,2,3/27/2011 16:08,0.85,13110,United Kingdom
547906,22261,FELT EGG COSY WHITE RABBIT ,1,3/28/2011 12:13,0.85,14410,United Kingdom
547906,22261,FELT EGG COSY WHITE RABBIT ,1,3/28/2011 12:13,0.85,14410,United Kingdom
547906,22261,FELT EGG COSY WHITE RABBIT ,1,3/28/2011 12:13,0.85,14410,United Kingdom
547906,22261,FELT EGG COSY WHITE RABBIT ,1,3/28/2011 12:13,0.85,14410,United Kingdom
547967,22261,FELT EGG COSY WHITE RABBIT ,1,3/28/2011 15:49,1.63,NA,United Kingdom
548893,22261,FELT EGG COSY WHITE RABBIT ,1,4/4/2011 15:54,1.63,NA,United Kingdom
548894,22261,FELT EGG COSY WHITE RABBIT ,2,4/4/2011 16:01,1.63,NA,United Kingdom
549234,22261,FELT EGG COSY WHITE RABBIT ,1,4/7/2011 11:12,0.85,16515,United Kingdom
549524,22261,FELT EGG COSY WHITE RABBIT ,4,4/8/2011 15:42,1.63,NA,United Kingdom
549525,22261,FELT EGG COSY WHITE RABBIT ,2,4/8/2011 15:44,1.63,NA,United Kingdom
549573,22261,FELT EGG COSY WHITE RABBIT ,5,4/10/2011 16:01,0.85,14504,United Kingdom
549903,22261,FELT EGG COSY WHITE RABBIT ,10,4/12/2011 16:19,0.85,17576,United Kingdom
550123,22261,FELT EGG COSY WHITE RABBIT ,5,4/14/2011 12:39,0.85,NA,United Kingdom
550458,22261,FELT EGG COSY WHITE RABBIT ,3,4/18/2011 13:13,1.63,NA,United Kingdom
550499,22261,FELT EGG COSY WHITE RABBIT ,5,4/18/2011 15:16,1.63,NA,United Kingdom
550541,22261,FELT EGG COSY WHITE RABBIT ,1,4/19/2011 11:33,1.63,NA,United Kingdom
