2020 Tract,ID,Population,Households,Male,Female,Employed,Unemployed,NLF,No education,Primary,Secondary,Graduate,Gen Z,Millennial,Gen X,Baby Boomer,Silent,Poverty Level,Low,Lower Middle,Median,Middle Middle,Upper Middle,High,HH Size,HH Num Kids
101110,CT-1011.1,3367,1505,0.49732,0.50268,0.625,0.052,0.323,0.00665,0.01962,0.32424,0.64948,0.18612,0.22852,0.25,0.26707,0.06828,0.17417,0.06406,0.15516,0.10711,0.16116,0.2032,0.13514,2.54,0.49
101122,CT-1011.22,3567,1341,0.47851,0.52149,0.645,0.092,0.263,0.02585,0.07788,0.26939,0.62688,0.20708,0.1419,0.23403,0.28663,0.13036,0.08509,0.04505,0.02603,0.20521,0.16416,0.21622,0.25826,3.07,0.45
101220,CT-1012.2,3144,1430,0.45616,0.54384,0.646,0.112,0.242,0.0223,0.06725,0.36806,0.5424,0.24352,0.21087,0.2607,0.22044,0.06447,0.25125,0.06406,0.14114,0.14915,0.10611,0.12112,0.16717,2.64,0.52
101221,CT-1012.21,3282,1513,0.54317,0.45683,0.542,0.065,0.393,0.02689,0.08103,0.37827,0.51382,0.25843,0.20478,0.23652,0.20983,0.09045,0.33966,0.07493,0.15085,0.13586,0.10589,0.12188,0.07093,2.46,0.45
101222,CT-1012.22,2197,969,0.50607,0.49393,0.638,0.109,0.253,0.03391,0.1012,0.253,0.61189,0.21057,0.24035,0.28272,0.1854,0.08096,0.43956,0.16184,0.12488,0.11988,0.04995,0.07493,0.02897,2.79,0.57
101300,CT-1013,3378,1419,0.49719,0.50281,0.534,0.049,0.417,0.01017,0.03082,0.33683,0.62218,0.13638,0.18647,0.21737,0.31617,0.14361,0.136,0.063,0.082,0.126,0.123,0.204,0.266,2.6,0.29
101400,CT-1014,2831,1336,0.4923,0.5077,0.613,0.066,0.321,0.01183,0.0355,0.27295,0.67972,0.18533,0.16414,0.27447,0.29633,0.07972,0.23,0.066,0.094,0.133,0.084,0.171,0.222,2.41,0.4
102103,CT-1021.03,1474,711,0.48698,0.51302,0.633,0.08,0.287,0.00073,0.00293,0.31163,0.68471,0.18674,0.29805,0.22506,0.22689,0.06326,0.10521,0.20541,0.12224,0.14529,0.1012,0.18136,0.13928,2.7,0.7
102104,CT-1021.04,3589,1340,0.43348,0.56652,0.569,0.075,0.356,0.01086,0.03224,0.19605,0.76086,0.22424,0.18064,0.24812,0.25253,0.09447,0.138,0.01,0.157,0.097,0.115,0.204,0.279,2.95,0.55
102105,CT-1021.05,1523,543,0.46967,0.53033,0.773,0.066,0.161,0.02239,0.06716,0.30149,0.60896,0.17775,0.24798,0.24052,0.28154,0.05221,0.16416,0.07708,0.06807,0.12513,0.22823,0.13113,0.20621,3.31,0.63
102107,CT-1021.07,3553,1232,0.48089,0.51911,0.592,0.138,0.27,0.01216,0.0368,0.30752,0.64352,0.21331,0.24658,0.18752,0.29404,0.05855,0.13914,0.03904,0.07007,0.21922,0.08809,0.18218,0.26226,3.13,0.5
103101,CT-1031.01,2100,930,0.53261,0.46739,0.705,0.073,0.222,0.01264,0.03741,0.28451,0.66544,0.14776,0.24794,0.20494,0.32983,0.06953,0.149,0.059,0.046,0.145,0.075,0.251,0.275,2.66,0.5
103102,CT-1031.02,4172,1664,0.48007,0.51993,0.632,0.097,0.271,0.01933,0.05772,0.38334,0.53961,0.19285,0.21542,0.24313,0.26123,0.08737,0.15185,0.09291,0.0959,0.18082,0.18881,0.18082,0.10889,2.83,0.42
103201,CT-1032.01,3365,1557,0.47639,0.52361,0.647,0.05,0.303,0.00778,0.02366,0.36552,0.60305,0.17277,0.21761,0.24822,0.26818,0.09322,0.203,0.082,0.107,0.143,0.052,0.313,0.1,2.37,0.43
103202,CT-1032.02,2162,697,0.53523,0.46477,0.56,0.033,0.407,0.01073,0.03169,0.28571,0.67187,0.15196,0.23005,0.16083,0.40608,0.05108,0.04004,0.06206,0.07307,0.04004,0.22222,0.28829,0.27427,3.68,0.67
103300,CT-1033,3090,1259,0.50832,0.49168,0.581,0.062,0.357,0.00369,0.01107,0.20007,0.78516,0.22722,0.14792,0.24942,0.28258,0.09285,0.118,0,0.065,0.157,0.122,0.16,0.378,2.95,0.62
103401,CT-1034.01,2280,1017,0.53505,0.46495,0.665,0.076,0.259,0.01314,0.0399,0.182,0.76496,0.1743,0.20172,0.232,0.29378,0.0982,0.0981,0.11211,0.04505,0.08909,0.08008,0.32232,0.25325,2.54,0.31
103402,CT-1034.02,3152,1379,0.51542,0.48458,0.673,0.037,0.29,0.00407,0.01221,0.27467,0.70905,0.13709,0.21662,0.2368,0.34688,0.06261,0.108,0.048,0.046,0.134,0.077,0.375,0.212,2.7,0.47
104103,CT-1041.03,3306,859,0.48954,0.51046,0.606,0.05,0.344,0.02351,0.07018,0.35123,0.55509,0.22815,0.3002,0.18459,0.20246,0.08461,0.06793,0.01898,0.22577,0.05694,0.09391,0.3027,0.23377,4.48,0.92
104105,CT-1041.05,4600,1525,0.45176,0.54824,0.583,0.099,0.318,0.057,0.1713,0.41879,0.35291,0.34312,0.20572,0.20821,0.17981,0.06314,0.26627,0.0981,0.13013,0.21221,0.13213,0.1001,0.06106,3.74,0.94
104108,CT-1041.08,4345,1340,0.53576,0.46424,0.674,0.071,0.255,0.05166,0.15527,0.4658,0.32728,0.30634,0.27293,0.20915,0.16603,0.04556,0.21922,0.13013,0.13013,0.16216,0.13814,0.09009,0.13013,4.14,1.04
104124,CT-1041.24,3201,1282,0.44679,0.55321,0.582,0.128,0.29,0.01725,0.0521,0.33238,0.59828,0.20397,0.23286,0.2171,0.27809,0.06799,0.22222,0.12613,0.07107,0.0961,0.18819,0.14715,0.14915,2.8,0.59
104201,CT-1042.01,3854,922,0.5301,0.4699,0.59,0.041,0.369,0.03833,0.11467,0.60352,0.24348,0.27238,0.29477,0.19557,0.18049,0.05679,0.14715,0.03804,0.16817,0.16817,0.13213,0.23123,0.11512,5.12,1.14
104203,CT-1042.03,4120,1155,0.49668,0.50332,0.632,0.056,0.312,0.05912,0.17706,0.517,0.24682,0.31255,0.27452,0.23753,0.13217,0.04323,0.34334,0.03504,0.12613,0.19019,0.04204,0.14314,0.12012,4.69,1.31
104204,CT-1042.04,3067,754,0.48751,0.51249,0.551,0.058,0.391,0.03735,0.11163,0.56494,0.28608,0.31615,0.23659,0.2506,0.12902,0.06764,0.103,0.195,0.145,0.089,0.216,0.137,0.115,4.39,1.15
104310,CT-1043.1,3790,932,0.49929,0.50071,0.682,0.056,0.262,0.05933,0.17767,0.5362,0.22679,0.31112,0.26796,0.21554,0.18595,0.01943,0.13213,0.02803,0.1041,0.14915,0.13814,0.25125,0.1972,5.32,1.53
104321,CT-1043.21,2628,983,0.46419,0.53581,0.55,0.044,0.406,0.03862,0.1154,0.6469,0.19908,0.27574,0.23982,0.19398,0.23606,0.0544,0.184,0.334,0.089,0.132,0.069,0.129,0.063,3.18,0.6
104322,CT-1043.22,1631,469,0.45137,0.54863,0.653,0.008,0.339,0.11905,0.3564,0.34747,0.17708,0.25229,0.24657,0.24886,0.24314,0.00915,0.072,0.041,0.09,0.424,0.026,0.183,0.164,4.23,1.08
104401,CT-1044.01,2427,632,0.47639,0.52361,0.612,0.041,0.347,0.07091,0.2122,0.47602,0.24088,0.33155,0.2359,0.16345,0.25125,0.01784,0.16817,0.07107,0.14715,0.20721,0.14715,0.12513,0.13413,4.96,1.39
104403,CT-1044.03,2215,576,0.47705,0.52295,0.661,0.087,0.252,0.06175,0.18578,0.47639,0.27608,0.23813,0.26126,0.22069,0.20933,0.07059,0.13627,0.07816,0.09018,0.22445,0.12725,0.21543,0.12826,4.73,1.02
