customer,order,total_items,discount%,weekday,hour,Food%,Fresh%,Drinks%,Home%,Beauty%,Health%,Baby%,Pets%,num_orders,labels,class,input_text,target_text
0,0,0.2821407795229784,14.11,4,13,14.07,73.20333333333333,4.3566666666666665,6.2,2.1766666666666667,0.0,0.0,0.0,3.0,1,2,customer: 0; order: 0; total_items: 0.2821407795229784; discount%: 14.11; weekday: 4; hour: 13; Food%: 14.07; Fresh%: 73.20333333333333; Drinks%: 4.3566666666666665; Home%: 6.2; Beauty%: 2.1766666666666667; Health%: 0.0; Baby%: 0.0; Pets%: 0.0; labels: 1; class: 2,3.0
1,3,0.187783595113438,17.849,1,12,17.762,52.909000000000006,17.760999999999996,3.2075000000000005,2.3145,4.351999999999999,1.6949999999999998,0.0,20.0,4,7,customer: 1; order: 3; total_items: 0.187783595113438; discount%: 17.849; weekday: 1; hour: 12; Food%: 17.762; Fresh%: 52.909000000000006; Drinks%: 17.760999999999996; Home%: 3.2075000000000005; Beauty%: 2.3145; Health%: 4.351999999999999; Baby%: 1.6949999999999998; Pets%: 0.0; labels: 4; class: 7,20.0
2,23,0.1518324607329843,2.97,6,23,24.1,22.29,38.69,14.92,0.0,0.0,0.0,0.0,1.0,8,3,customer: 2; order: 23; total_items: 0.1518324607329843; discount%: 2.97; weekday: 6; hour: 23; Food%: 24.1; Fresh%: 22.29; Drinks%: 38.69; Home%: 14.92; Beauty%: 0.0; Health%: 0.0; Baby%: 0.0; Pets%: 0.0; labels: 8; class: 3,1.0
3,24,0.1642765004932089,4.102173913043479,1,10,23.82565217391305,51.280869565217394,8.220869565217392,14.773478260869569,0.0,0.0,1.898695652173913,0.0,23.0,4,7,customer: 3; order: 24; total_items: 0.1642765004932089; discount%: 4.102173913043479; weekday: 1; hour: 10; Food%: 23.82565217391305; Fresh%: 51.280869565217394; Drinks%: 8.220869565217392; Home%: 14.773478260869569; Beauty%: 0.0; Health%: 0.0; Baby%: 1.898695652173913; Pets%: 0.0; labels: 4; class: 7,23.0
4,47,0.0897273876150929,4.373103448275862,3,9,24.841379310344823,51.08241379310345,10.29103448275862,13.035172413793102,0.6837931034482758,0.0,0.0655172413793103,0.0,29.0,4,7,customer: 4; order: 47; total_items: 0.0897273876150929; discount%: 4.373103448275862; weekday: 3; hour: 9; Food%: 24.841379310344823; Fresh%: 51.08241379310345; Drinks%: 10.29103448275862; Home%: 13.035172413793102; Beauty%: 0.6837931034482758; Health%: 0.0; Baby%: 0.0655172413793103; Pets%: 0.0; labels: 4; class: 7,29.0
5,76,0.1169284467713787,11.76,2,23,6.84,0.0,24.02,26.87,10.21,0.0,32.06,0.0,1.0,8,3,customer: 5; order: 76; total_items: 0.1169284467713787; discount%: 11.76; weekday: 2; hour: 23; Food%: 6.84; Fresh%: 0.0; Drinks%: 24.02; Home%: 26.87; Beauty%: 10.21; Health%: 0.0; Baby%: 32.06; Pets%: 0.0; labels: 8; class: 3,1.0
6,77,0.2549335481272654,2.683846153846154,2,12,39.315384615384616,23.76692307692308,19.72153846153846,5.633076923076923,2.1884615384615382,0.0,6.617692307692308,2.7569230769230773,13.0,4,7,customer: 6; order: 77; total_items: 0.2549335481272654; discount%: 2.683846153846154; weekday: 2; hour: 12; Food%: 39.315384615384616; Fresh%: 23.76692307692308; Drinks%: 19.72153846153846; Home%: 5.633076923076923; Beauty%: 2.1884615384615382; Health%: 0.0; Baby%: 6.617692307692308; Pets%: 2.7569230769230773; labels: 4; class: 7,13.0
7,90,0.2495636998254799,0.93,1,20,23.7,52.54,13.93,0.0,9.83,0.0,0.0,0.0,1.0,1,2,customer: 7; order: 90; total_items: 0.2495636998254799; discount%: 0.93; weekday: 1; hour: 20; Food%: 23.7; Fresh%: 52.54; Drinks%: 13.93; Home%: 0.0; Beauty%: 9.83; Health%: 0.0; Baby%: 0.0; Pets%: 0.0; labels: 1; class: 2,1.0
8,91,0.2164048865619546,23.67,2,23,24.09125,37.56625,22.3925,12.03375,3.9175,0.0,0.0,0.0,8.0,4,7,customer: 8; order: 91; total_items: 0.2164048865619546; discount%: 23.67; weekday: 2; hour: 23; Food%: 24.09125; Fresh%: 37.56625; Drinks%: 22.3925; Home%: 12.03375; Beauty%: 3.9175; Health%: 0.0; Baby%: 0.0; Pets%: 0.0; labels: 4; class: 7,8.0
9,99,0.094240837696335,3.004166666666667,2,8,9.296666666666669,64.83999999999999,14.153333333333334,3.2575,2.4391666666666665,5.39,0.625,0.0,12.0,4,7,customer: 9; order: 99; total_items: 0.094240837696335; discount%: 3.004166666666667; weekday: 2; hour: 8; Food%: 9.296666666666669; Fresh%: 64.83999999999999; Drinks%: 14.153333333333334; Home%: 3.2575; Beauty%: 2.4391666666666665; Health%: 5.39; Baby%: 0.625; Pets%: 0.0; labels: 4; class: 7,12.0
10,111,0.1413612565445026,11.435,1,19,7.15,0.0,0.0,38.31,51.45,3.085,0.0,0.0,2.0,0,0,customer: 10; order: 111; total_items: 0.1413612565445026; discount%: 11.435; weekday: 1; hour: 19; Food%: 7.15; Fresh%: 0.0; Drinks%: 0.0; Home%: 38.31; Beauty%: 51.45; Health%: 3.085; Baby%: 0.0; Pets%: 0.0; labels: 0; class: 0,2.0
